apaG	glnX	gltX	pheV	cspI	fis
0	1	1	1	0	0
1	0	0	0	0	0
0	1	0	0	0	0
0	0	0	0	0	0
1	1	0	1	0	0
1	0	0	0	0	0
1	1	0	0	1	0
0	1	0	1	0	0
0	1	0	0	0	0
1	1	0	0	0	1
1	1	0	1	0	0
0	1	1	0	0	0
0	0	1	0	0	0
0	0	1	0	0	0
0	1	1	1	1	0
0	1	1	1	1	0
0	1	1	0	0	0
0	0	1	0	0	0
0	1	1	0	0	0
0	1	1	0	0	0
1	1	1	1	1	1
1	1	0	0	0	1
0	0	0	1	0	1
0	1	0	1	0	0
0	0	0	1	0	1
1	0	0	1	0	1
0	1	0	1	0	0
1	1	0	1	0	0
1	1	0	1	1	0
1	1	0	1	0	0
1	0	0	1	1	1
1	1	1	0	0	0
0	1	1	0	1	0
0	1	1	0	0	0
1	0	1	0	0	0
1	1	1	0	0	0
1	1	1	0	1	0
0	1	1	0	1	0
1	1	1	0	0	0
1	1	1	1	1	1
1	0	1	0	0	0
1	1	0	0	1	0
1	1	0	0	1	0
0	0	0	1	0	1
0	1	0	0	0	0
1	0	0	0	1	1
0	0	0	0	0	0
0	1	0	1	0	0
0	0	0	1	0	1
1	1	0	0	0	1
0	1	0	0	0	0
0	0	1	0	1	1
0	0	1	0	0	0
1	1	1	1	1	1
0	0	1	1	0	0
0	1	1	0	0	0
0	1	1	1	0	0
1	1	1	1	0	0
1	0	1	0	0	0
0	1	1	1	0	0
1	0	1	1	1	0
1	0	1	1	0	0
0	1	1	1	0	0
0	0	1	1	0	0
0	0	0	1	1	0
0	0	0	1	0	1
0	0	1	1	0	0
1	1	1	0	0	0
0	1	0	0	1	1
0	0	1	1	0	0
0	1	1	1	1	0
0	1	1	1	1	0
0	1	1	0	0	0
0	1	1	0	0	0
1	1	1	1	0	0
0	0	1	1	0	0
0	0	1	1	0	0
1	0	1	1	0	0
1	1	1	0	0	0
1	1	1	1	0	0
1	1	1	0	0	0
0	0	0	0	1	1
1	1	0	0	0	1
0	1	0	0	0	0
1	1	1	0	0	0
1	0	1	1	0	0
1	1	1	0	1	0
1	1	0	0	0	1
1	1	0	0	0	1
1	1	0	1	1	0
1	0	0	0	0	0
1	1	0	1	0	0
0	1	1	1	0	0
0	0	1	0	1	1
0	0	1	0	0	0
0	1	0	0	0	0
0	1	0	1	0	0
0	0	1	1	0	0
0	1	1	1	0	0
0	1	0	0	1	1
1	1	1	0	1	0
1	1	1	0	1	0
0	1	1	0	0	0
1	0	0	0	1	1
0	0	0	0	1	1
0	1	1	0	0	0
1	0	0	0	0	0
1	1	0	1	0	0
1	1	0	1	0	0
1	0	0	1	1	1
0	0	0	1	0	1
1	0	0	1	0	1
1	1	1	0	0	0
1	0	1	1	1	0
1	1	1	0	1	0
1	0	1	0	0	0
1	0	0	0	1	1
0	0	1	0	0	0
0	0	0	0	0	0
0	0	1	0	1	1
1	0	0	1	0	1
0	1	0	1	0	0
0	0	1	1	0	0
0	0	1	1	0	0
1	1	1	0	0	0
0	1	1	0	0	0
1	1	1	0	0	0
0	1	1	0	0	0
1	1	1	0	0	0
0	1	1	0	0	0
0	1	1	0	0	0
0	0	1	0	1	1
0	0	1	0	1	1
0	0	0	1	1	0
0	0	0	1	0	1
1	0	0	1	0	1
1	0	0	1	0	1
1	0	0	1	1	1
1	1	0	1	0	0
1	0	0	1	1	1
1	0	0	0	1	1
1	0	0	0	1	1
0	0	1	1	0	0
1	1	0	0	0	1
1	0	0	1	0	1
0	1	0	1	0	0
0	0	0	1	0	1
0	0	0	1	0	1
1	0	1	1	0	0
1	1	1	1	0	0
0	0	0	0	0	0
0	0	0	1	0	1
1	0	1	0	1	1
1	0	0	0	1	1
0	0	0	1	0	1
0	0	1	1	0	0
1	0	0	0	1	1
1	1	1	0	1	0
0	0	0	1	0	1
1	1	0	1	0	0
0	0	1	0	0	0
1	0	1	0	1	1
1	1	1	1	1	1
1	0	0	1	0	1
1	0	0	0	0	0
1	1	1	1	0	0
0	0	0	1	0	1
1	0	1	0	0	0
1	1	0	1	0	0
1	0	0	1	1	1
1	0	0	0	0	0
1	1	0	0	0	1
0	0	0	0	0	0
0	1	0	0	1	1
0	1	1	0	1	0
1	0	0	1	0	1
1	0	0	1	0	1
0	0	0	0	0	0
0	1	0	1	0	0
0	0	0	0	1	1
1	0	1	1	1	0
0	1	1	0	0	0
0	0	1	1	0	0
0	0	1	0	0	0
1	1	1	1	0	0
1	0	1	1	0	0
1	0	1	0	0	0
1	0	0	1	0	1
1	1	1	1	0	0
1	1	0	1	0	0
0	0	0	1	0	1
1	0	1	0	1	1
0	1	1	0	1	0
0	0	1	1	1	1
0	0	0	0	1	1
0	0	1	0	1	1
0	0	0	0	1	1
0	1	0	1	1	0
1	1	0	0	1	0
1	0	0	1	1	1
