serX	glnX	apaG	lysV	fis	lysW
0	1	0	1	0	1
0	0	1	0	0	1
0	1	0	0	0	1
0	0	0	0	0	1
0	1	1	0	0	1
0	0	1	1	0	0
1	1	1	1	0	0
0	1	0	1	0	1
1	1	0	1	0	0
1	1	1	0	0	0
0	1	1	0	0	1
1	1	0	1	0	0
0	0	0	1	1	0
1	0	0	0	0	0
0	1	0	1	0	1
0	1	0	1	0	1
0	1	0	0	1	1
0	0	0	0	0	1
0	1	0	0	1	1
0	1	0	1	0	1
1	1	1	1	0	0
1	1	1	1	0	0
0	0	0	1	1	0
0	1	0	1	1	1
1	0	0	1	1	1
1	0	1	1	1	1
1	1	0	1	0	0
1	1	1	1	0	0
1	1	1	1	1	1
0	1	1	1	1	1
0	0	1	1	0	0
1	1	1	1	1	1
1	1	0	0	0	0
1	1	0	1	0	0
1	0	1	1	0	1
1	1	1	0	1	1
0	1	1	1	0	1
0	1	0	1	0	1
1	1	1	1	0	0
1	1	1	1	1	1
0	0	1	0	0	1
0	1	1	1	1	1
1	1	1	1	0	0
1	0	0	1	1	1
0	1	0	1	1	1
1	0	1	1	1	1
0	0	0	0	1	0
0	1	0	0	0	1
0	0	0	0	0	1
1	1	1	0	1	1
1	1	0	1	1	1
1	0	0	0	1	1
0	0	0	0	1	0
0	1	1	0	0	1
1	0	0	0	1	1
0	1	0	0	0	1
0	1	0	1	1	1
0	1	1	0	1	0
0	0	1	1	0	0
1	1	0	0	0	0
1	0	1	0	0	0
1	0	1	0	0	0
0	1	0	1	0	1
0	0	0	1	0	0
1	0	0	0	0	0
1	0	0	0	0	0
0	0	0	0	0	1
1	1	1	0	0	0
1	1	0	1	1	1
1	0	0	1	1	1
1	1	0	0	0	0
1	1	0	1	0	0
0	1	0	0	0	1
0	1	0	1	0	1
1	1	1	0	1	1
0	0	0	0	0	1
0	0	0	1	0	0
0	0	1	0	0	1
0	1	1	0	0	1
0	1	1	0	0	1
1	1	1	1	0	0
0	0	0	0	0	1
0	1	1	1	1	1
0	1	0	1	0	1
1	1	1	0	1	1
0	0	1	0	1	0
1	1	1	1	1	1
1	1	1	0	0	0
0	1	1	1	1	1
0	1	1	0	1	0
1	0	1	1	0	1
0	1	1	1	1	1
0	1	0	1	0	1
0	0	0	1	0	0
1	0	0	0	1	1
1	1	0	0	1	0
0	1	0	1	0	1
1	0	0	1	1	1
1	1	0	1	0	0
0	1	0	0	1	1
0	1	1	1	0	1
0	1	1	0	1	0
1	1	0	0	0	0
0	0	1	0	0	1
0	0	0	0	1	0
0	1	0	0	1	1
0	0	1	0	1	0
0	1	1	0	0	1
1	1	1	0	1	1
0	0	1	0	0	1
0	0	0	0	0	1
0	0	1	1	1	1
0	1	1	0	1	0
0	0	1	1	0	0
1	1	1	1	0	0
1	0	1	1	1	1
1	0	1	0	0	0
0	0	0	0	1	0
0	0	0	1	0	0
0	0	0	0	1	0
1	0	1	1	1	1
1	1	0	0	1	0
1	0	0	0	0	0
1	0	0	1	0	0
1	1	1	1	0	0
1	1	0	1	0	0
1	1	1	1	0	0
1	1	0	1	0	0
1	1	1	0	0	0
1	1	0	0	0	0
1	1	0	1	0	0
0	0	0	1	1	0
1	0	0	0	1	1
1	0	0	0	1	1
0	0	0	0	1	0
1	0	1	1	1	1
1	0	1	1	1	1
1	0	1	1	1	1
1	1	1	0	1	1
1	0	1	0	1	1
0	0	1	1	0	0
1	0	1	0	1	1
0	0	0	0	1	0
0	1	1	0	1	0
0	0	1	0	1	0
0	1	0	1	1	1
0	0	0	0	1	0
0	0	0	0	1	0
0	0	1	1	0	0
0	1	1	0	1	0
0	0	0	0	1	0
0	0	0	1	1	0
0	0	1	1	1	1
0	0	1	1	1	1
1	0	0	1	0	0
0	0	0	1	0	0
0	0	1	0	1	0
0	1	1	1	1	1
0	0	0	0	1	0
0	1	1	0	1	0
1	0	0	0	0	0
1	0	1	1	1	1
0	1	1	1	1	1
0	0	1	0	1	0
1	0	1	0	0	0
0	1	1	0	1	0
1	0	0	1	0	0
1	0	1	1	0	1
0	1	1	0	0	1
1	0	1	0	0	0
1	0	1	0	0	0
1	1	1	0	0	0
0	0	0	0	1	0
1	1	0	0	0	0
1	1	0	0	1	0
1	0	1	0	1	1
0	0	1	0	1	0
1	0	0	1	1	1
1	1	0	0	0	0
1	0	0	0	0	0
1	0	1	0	0	0
0	1	0	0	0	1
0	0	0	0	0	1
0	0	0	0	1	0
1	1	1	1	1	1
0	0	1	1	0	0
1	0	1	1	0	1
1	0	1	0	1	1
0	1	1	1	1	1
0	1	1	1	0	1
1	0	0	0	0	0
1	0	1	0	0	0
1	1	0	1	1	1
1	0	0	0	0	0
1	0	0	1	1	1
1	0	0	1	0	0
1	0	0	0	1	1
1	1	0	0	1	0
0	1	1	0	0	1
1	0	1	0	0	0
